family,arm,mode,metric,n,mean,standard_deviation,bootstrap_ci95_low,bootstrap_ci95_high
trigger,prompt_evidence_first,selfish,effective_missed_optimization_rate,5,0.062499999999999965,0.01041666666666665,0.05416666666666664,0.07083333333333328
trigger,prompt_evidence_first,selfish,effective_phase_correct,5,0.9291666666666666,0.025937290829143193,0.90625,0.9458333333333332
trigger,prompt_evidence_first,selfish,effective_updates_correct,5,0.6562500000000001,0.02852721653672742,0.6354166666666667,0.6770833333333334
trigger,prompt_evidence_first,selfish,effective_uncertainty_recommended_action_correct,5,0.89375,0.023753654689565345,0.875,0.9125
trigger,prompt_evidence_first,selfish,llm_total_tokens,5,713564.0,662.0441828156185,713056.2,714071.875
trigger,prompt_evidence_first,selfish,llm_latency_seconds,5,535.6888561999999,28.53772863227705,517.6418034,560.930887
trigger,prompt_evidence_first,selfish,llm_approximate_cost_usd,5,0.09987605000000001,0.004406924290982315,0.09737221199999999,0.10384375800000001
trigger,threshold_high,selfish,effective_action_correct,5,0.8625,0.018633899812498238,0.8479166666666668,0.8770833333333332
trigger,threshold_high,selfish,effective_false_optimization_rate,5,0.00208333333333332,0.0046584749531245325,0.0,0.00624999999999996
trigger,threshold_high,selfish,effective_missed_optimization_rate,5,0.13541666666666666,0.016470196146710313,0.12291666666666663,0.14791666666666664
trigger,threshold_high,selfish,effective_phase_correct,5,0.9270833333333334,0.02209708691207961,0.9083333333333334,0.9458333333333334
trigger,threshold_high,selfish,effective_updates_correct,5,0.6395833333333333,0.028144283512721448,0.6145833333333334,0.6583333333333333
trigger,threshold_high,selfish,effective_uncertainty_recommended_action_correct,5,0.8895833333333334,0.03176656392078523,0.8625,0.9125
trigger,threshold_high,selfish,llm_total_tokens,5,704529.0,583.4222313213647,704093.0,704977.8
trigger,threshold_high,selfish,llm_latency_seconds,5,514.2749142,50.50639857166658,479.04803680000003,558.310425545
trigger,threshold_high,selfish,llm_approximate_cost_usd,5,0.09918819000000001,0.005242687150999,0.096048782,0.10399427800000001
trigger,threshold_low,selfish,effective_action_correct,5,0.9291666666666668,0.017116329922036468,0.91875,0.94375
trigger,threshold_low,selfish,effective_false_optimization_rate,5,0.0,0.0,0.0,0.0
trigger,threshold_low,selfish,effective_missed_optimization_rate,5,0.07083333333333328,0.01711632992203645,0.05624999999999993,0.08124999999999996
trigger,threshold_low,selfish,effective_phase_correct,5,0.91875,0.02375365468956538,0.9020833333333333,0.9395833333333334
trigger,threshold_low,selfish,effective_updates_correct,5,0.6354166666666666,0.03125000000000001,0.6145833333333333,0.6625
trigger,threshold_low,selfish,effective_uncertainty_recommended_action_correct,5,0.8770833333333334,0.034860834438919824,0.85625,0.9083333333333332
trigger,threshold_low,selfish,llm_total_tokens,5,704842.8,605.8755647820764,704382.0,705300.2
trigger,threshold_low,selfish,llm_latency_seconds,5,503.66894179999997,26.93009463660975,480.58080579999995,521.375494
trigger,threshold_low,selfish,llm_approximate_cost_usd,5,0.09802667600000001,0.0044270768311753935,0.09566904600000001,0.10202448989999999
pricing,guidance_base,altruistic,operationally_feasible,5,1.0,0.0,1.0,1.0
pricing,guidance_base,altruistic,mode_aligned_economic_score,5,-121.37941960942926,0.4815889403928026,-121.81016585260143,-121.1640464878432
pricing,guidance_base,altruistic,buy_arithmetic_mean_gap,5,-0.022875816993464,0.0,-0.022875816993464,-0.022875816993464
pricing,guidance_base,altruistic,sell_arithmetic_mean_gap,5,0.035058823529411684,0.0195984781557334,0.017529411764705842,0.0438235294117646
pricing,guidance_base,altruistic,buy_centered_temporal_mae,5,0.0156520996198043,0.0,0.0156520996198043,0.0156520996198043
pricing,guidance_base,altruistic,sell_centered_temporal_mae,5,0.02170242214532872,0.01213202279833796,0.01085121107266436,0.0271280276816609
pricing,guidance_base,altruistic,llm_total_tokens,5,16009.0,103.02669556964351,15929.0,16089.0
pricing,guidance_base,altruistic,llm_latency_seconds,5,14.7984434,0.7254958538904961,14.2512294,15.362157
pricing,guidance_base,altruistic,llm_approximate_cost_usd,5,0.002463072,0.0008289074449659624,0.00202148,0.0032063359999999997
pricing,guidance_base,selfish,operationally_feasible,5,1.0,0.0,1.0,1.0
pricing,guidance_base,selfish,mode_aligned_economic_score,5,28.7325158320542,0.0,28.7325158320542,28.7325158320542
pricing,guidance_base,selfish,buy_arithmetic_mean_gap,5,-0.00300000000000004,0.003415650255319895,-0.00566666666666672,-0.00066666666666668
pricing,guidance_base,selfish,sell_arithmetic_mean_gap,5,0.0,0.0,0.0,0.0
pricing,guidance_base,selfish,buy_centered_temporal_mae,5,0.00399999999999998,0.004554200340426482,0.00088888888888888,0.00755555555555554
pricing,guidance_base,selfish,sell_centered_temporal_mae,5,0.0,0.0,0.0,0.0
pricing,guidance_base,selfish,llm_total_tokens,5,17005.8,92.96343367152485,16929.0,17077.2
pricing,guidance_base,selfish,llm_latency_seconds,5,14.292368,1.0301144687477697,13.5191046,15.127778999999999
pricing,guidance_base,selfish,llm_approximate_cost_usd,5,0.0027993339999999997,0.0007866790739431169,0.002193228,0.0033891200000000002
pricing,guidance_narrow,altruistic,operationally_feasible,5,1.0,0.0,1.0,1.0
pricing,guidance_narrow,altruistic,mode_aligned_economic_score,5,-122.02553897418753,0.4815889403928026,-122.2409120957736,-121.59479273101536
pricing,guidance_narrow,altruistic,buy_arithmetic_mean_gap,5,-0.0228759084967321,0.0,-0.0228759084967321,-0.0228759084967321
pricing,guidance_narrow,altruistic,sell_arithmetic_mean_gap,5,0.008764885620915056,0.019598478155733384,1.7973856214492653e-07,0.02629429738562088
pricing,guidance_narrow,altruistic,buy_centered_temporal_mae,5,0.0078260498099021,0.0,0.0078260498099021,0.0078260498099021
pricing,guidance_narrow,altruistic,sell_centered_temporal_mae,5,0.027391174334657604,3.878959614448864e-18,0.027391174334657604,0.027391174334657604
pricing,guidance_narrow,altruistic,llm_total_tokens,5,16021.8,62.52759390860967,15978.6,16073.0
pricing,guidance_narrow,altruistic,llm_latency_seconds,5,13.983016000000001,0.7499417046944384,13.4384448,14.561083200000002
pricing,guidance_narrow,altruistic,llm_approximate_cost_usd,5,0.002540478,0.0012245099150353992,0.0019717019999999997,0.003637194
pricing,guidance_narrow,selfish,operationally_feasible,5,1.0,0.0,1.0,1.0
pricing,guidance_narrow,selfish,mode_aligned_economic_score,5,29.737590399455808,0.16052964679759146,29.594008318398426,29.8093814399845
pricing,guidance_narrow,selfish,buy_arithmetic_mean_gap,5,-0.0121894607843136,0.003967863989185896,-0.015405147058823399,-0.00926789215686262
pricing,guidance_narrow,selfish,sell_arithmetic_mean_gap,5,-0.00141179411764708,0.0015339299776947065,-0.0023529705882353,-2.9411764760050445e-08
pricing,guidance_narrow,selfish,buy_centered_temporal_mae,5,0.012939638600538081,0.0053495816025730955,0.0090672818146865,0.01732871972318322
pricing,guidance_narrow,selfish,sell_centered_temporal_mae,5,0.0018269896193771427,0.0010283280620626348,0.0008858131487889277,0.0023806228373702
pricing,guidance_narrow,selfish,llm_total_tokens,5,17115.4,34.70302580467588,17090.8,17144.0
pricing,guidance_narrow,selfish,llm_latency_seconds,5,15.021276199999999,0.8107804523480447,14.4664736,15.766587999999999
pricing,guidance_narrow,selfish,llm_approximate_cost_usd,5,0.00303748,0.0011102582686024006,0.0022835999999999993,0.0039279
pricing,guidance_wide,altruistic,operationally_feasible,5,1.0,0.0,1.0,1.0
pricing,guidance_wide,altruistic,mode_aligned_economic_score,5,-121.59479273101536,0.5898235848649946,-122.02553897418753,-121.1640464878432
pricing,guidance_wide,altruistic,buy_arithmetic_mean_gap,5,-0.022875725490196,0.0,-0.022875725490196,-0.022875725490196
pricing,guidance_wide,altruistic,sell_arithmetic_mean_gap,5,0.026293937908496663,0.024003135608314567,0.008764526143790828,0.0438233496732025
pricing,guidance_wide,altruistic,buy_centered_temporal_mae,5,0.0234781494297065,0.0,0.0234781494297065,0.0234781494297065
pricing,guidance_wide,altruistic,sell_centered_temporal_mae,5,0.04366799094365414,0.01485863270187025,0.032816779870989785,0.054519202016318505
pricing,guidance_wide,altruistic,llm_total_tokens,5,16096.0,102.35233265539189,16018.6,16177.6
pricing,guidance_wide,altruistic,llm_latency_seconds,5,14.874190199999997,1.6196759123482694,13.5915814,16.156799
pricing,guidance_wide,altruistic,llm_approximate_cost_usd,5,0.0024801540000000005,0.000798477310748402,0.0020527799999999997,0.003188742
pricing,guidance_wide,selfish,operationally_feasible,5,1.0,0.0,1.0,1.0
pricing,guidance_wide,selfish,mode_aligned_economic_score,5,27.6556502241239,0.0,27.6556502241239,27.6556502241239
pricing,guidance_wide,selfish,buy_arithmetic_mean_gap,5,0.00175808823529408,0.0021851971318830946,-0.00024191176470587998,0.0028757352941176
pricing,guidance_wide,selfish,sell_arithmetic_mean_gap,5,0.0011764999999999,0.0,0.0011764999999999,0.0011764999999999
pricing,guidance_wide,selfish,buy_centered_temporal_mae,5,0.002219146482122213,0.0031420175532500204,0.0004429065743945393,0.005107266435986
pricing,guidance_wide,selfish,sell_centered_temporal_mae,5,5.551115123125785e-17,0.0,5.551115123125785e-17,5.551115123125785e-17
pricing,guidance_wide,selfish,llm_total_tokens,5,17071.0,67.160256104336,17010.8,17109.8
pricing,guidance_wide,selfish,llm_latency_seconds,5,15.463549800000001,0.9710467394362121,14.8690608,16.352058
pricing,guidance_wide,selfish,llm_approximate_cost_usd,5,0.0026217460000000003,0.0008507431055730045,0.00202976,0.003348570000000001
