run_id,configuration,case,variant,mode,repetition,workbook,timestep,attempt_count,objective_metric,best_usable_attempt,best_usable_economic_attempt,selected_attempt,evaluator_accepted_attempt,best_usable_objective,best_usable_candidate_objective,selected_objective,selected_is_best_usable_candidate,selected_is_best_usable_objective,selected_objective_regret,accepted_rerun_worse_than_earlier_usable_attempt,accepted_rerun_economically_worse_than_earlier_usable_attempt,rejected_negative_pto_cost_count,no_op_rejection_feedback_count
aw_route6_late_return__selfish__uncertain_chat__agent_trigger_only__r002,agent_trigger_only,aw_route6_late_return,uncertain_chat,selfish,2,results/revision/price_escalation_v3/aw_route6_late_return/selfish/uncertain_chat/agent_trigger_only_rep_002.xlsx,6,2,projected_full_day_aggregator_revenue,2,2,2,,19.42782,19.42782,19.42782,True,True,0.0,False,False,0,0
aw_route6_late_return__selfish__uncertain_chat__agent_trigger_only__r002,agent_trigger_only,aw_route6_late_return,uncertain_chat,selfish,2,results/revision/price_escalation_v3/aw_route6_late_return/selfish/uncertain_chat/agent_trigger_only_rep_002.xlsx,44,1,projected_full_day_aggregator_revenue,1,1,1,1.0,23.896658,23.896658,23.896658,True,True,0.0,False,False,0,0
aw_route6_late_return__selfish__uncertain_chat__agent_trigger_only__r003,agent_trigger_only,aw_route6_late_return,uncertain_chat,selfish,3,results/revision/price_escalation_v3/aw_route6_late_return/selfish/uncertain_chat/agent_trigger_only_rep_003.xlsx,6,2,projected_full_day_aggregator_revenue,2,2,2,,19.42782,19.42782,19.42782,True,True,0.0,False,False,0,0
aw_route6_late_return__selfish__uncertain_chat__agent_trigger_only__r003,agent_trigger_only,aw_route6_late_return,uncertain_chat,selfish,3,results/revision/price_escalation_v3/aw_route6_late_return/selfish/uncertain_chat/agent_trigger_only_rep_003.xlsx,44,1,projected_full_day_aggregator_revenue,1,1,1,1.0,23.896658,23.896658,23.896658,True,True,0.0,False,False,0,0
aw_route6_late_return__selfish__uncertain_chat__agent_trigger_only__r004,agent_trigger_only,aw_route6_late_return,uncertain_chat,selfish,4,results/revision/price_escalation_v3/aw_route6_late_return/selfish/uncertain_chat/agent_trigger_only_rep_004.xlsx,6,2,projected_full_day_aggregator_revenue,2,2,2,,19.42782,19.42782,19.42782,True,True,0.0,False,False,0,0
aw_route6_late_return__selfish__uncertain_chat__agent_trigger_only__r004,agent_trigger_only,aw_route6_late_return,uncertain_chat,selfish,4,results/revision/price_escalation_v3/aw_route6_late_return/selfish/uncertain_chat/agent_trigger_only_rep_004.xlsx,44,1,projected_full_day_aggregator_revenue,1,1,1,1.0,23.896658,23.896658,23.896658,True,True,0.0,False,False,0,0
aw_route6_late_return__selfish__uncertain_chat__agent_trigger_only__r005,agent_trigger_only,aw_route6_late_return,uncertain_chat,selfish,5,results/revision/price_escalation_v3/aw_route6_late_return/selfish/uncertain_chat/agent_trigger_only_rep_005.xlsx,6,2,projected_full_day_aggregator_revenue,2,2,2,,19.42782,19.42782,19.42782,True,True,0.0,False,False,0,0
aw_route6_late_return__selfish__uncertain_chat__agent_trigger_only__r005,agent_trigger_only,aw_route6_late_return,uncertain_chat,selfish,5,results/revision/price_escalation_v3/aw_route6_late_return/selfish/uncertain_chat/agent_trigger_only_rep_005.xlsx,44,1,projected_full_day_aggregator_revenue,1,1,1,1.0,23.896658,23.896658,23.896658,True,True,0.0,False,False,0,0
aw_route6_late_return__selfish__uncertain_chat__numerical_event_trigger__r001,numerical_event_trigger,aw_route6_late_return,uncertain_chat,selfish,1,results/revision/price_escalation_v3/aw_route6_late_return/selfish/uncertain_chat/numerical_event_trigger.xlsx,44,1,projected_full_day_aggregator_revenue,1,1,1,1.0,54.073744,54.073744,54.073744,True,True,0.0,False,False,0,0
aw_route6_late_return__selfish__uncertain_chat__oracle_event_trigger__r001,oracle_event_trigger,aw_route6_late_return,uncertain_chat,selfish,1,results/revision/price_escalation_v3/aw_route6_late_return/selfish/uncertain_chat/oracle_event_trigger.xlsx,6,2,projected_full_day_aggregator_revenue,2,2,2,,19.42782,19.42782,19.42782,True,True,0.0,False,False,0,0
aw_route6_late_return__selfish__uncertain_chat__rule_text_event_trigger__r001,rule_text_event_trigger,aw_route6_late_return,uncertain_chat,selfish,1,results/revision/price_escalation_v3/aw_route6_late_return/selfish/uncertain_chat/rule_text_event_trigger.xlsx,6,2,projected_full_day_aggregator_revenue,2,2,2,,19.42782,19.42782,19.42782,True,True,0.0,False,False,0,0
